Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,198,-,-,-,24.85,67.05,6,0,6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,Snow Depth,Wind Speed,GHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,7,0,0,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,8,0,0,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,9,0,0,3.4,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,10,0,0,2.8,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,11,0,0,2.7,469,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,12,0,0,2.6,599,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,13,0,0,2.5,682,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,14,0,0,2.3,695,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,15,0,0,2.2,636,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,16,0,0,2,511,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,17,0,0,2,329,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,18,0,0,2,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,19,0,0,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,20,0,0,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,21,0,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,22,0,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,7,23,0,0,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,0,0,0,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,1,0,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,2,0,0,2.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,3,0,0,2.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,4,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,5,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,6,0,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,7,0,0,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,8,0,0,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,9,0,0,2.2,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,10,0,0,1.8,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,11,0,0,1.2,327,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,12,0,0,1,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,13,0,0,1.1,201,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,14,0,0,1.3,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,15,0,0,1.4,451,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,16,0,0,1.6,462,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,17,0,0,1.7,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,18,0,0,1.9,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,19,0,0,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,20,0,0,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,21,0,0,3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,22,0,0,3.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,8,23,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,0,0,0,4.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,1,0,0,4.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,2,0,0,4.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,3,0,0,4.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,4,0,0,4.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,5,0,0,4.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,6,0,0,4.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,7,0,0,4.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,8,0,0,4.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,9,0,0,4.4,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,10,0,0,3.8,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,11,0,0,4.3,470,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,12,0,0,3.8,609,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,13,0,0,3.2,691,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,14,0,0,2.6,702,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,15,0,0,2.2,642,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,16,0,0,2,517,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,17,0,0,1.9,343,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,18,0,0,1.9,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,19,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,20,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,21,0,0,2.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,22,0,0,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,9,23,0,0,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,0,0,0,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,1,0,0,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,2,0,0,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,3,0,0,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,4,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,5,0,0,3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,6,0,0,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,7,0,0,3.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,8,0,0,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,9,0,0,3.5,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,10,0,0,2.8,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,11,0,0,2.7,471,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,12,0,0,2.4,612,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,13,0,0,2.3,693,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,14,0,0,2.2,705,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,15,0,0,2.3,645,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,16,0,0,2.3,517,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,17,0,0,2.3,342,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,18,0,0,2.2,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,19,0,0,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,20,0,0,2.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,21,0,0,3.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,22,0,0,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,10,23,0,0,4.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,11,0,0,0,4.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,11,1,0,0,3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,11,2,0,0,3.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,1,11,3,0,0,3.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
